Job Title,Company,Location,Salary,Skills,Experience,Posted Date
Mobile Developer,Tech Company 335,Ho Chi Minh,8-20 millions,"Kotlin, Android",Fresher,2025-11-20
Mobile Developer,Tech Company 98,Ho Chi Minh,67-110 millions,"Swift, iOS",Manager,2024-07-15
Fullstack Developer,Tech Company 227,Ho Chi Minh,27-59 millions,"Java, Angular, SQL",Senior,2024-03-18
Frontend Developer,Tech Company 497,Da Nang,,"ReactJS, TypeScript",Senior,2024-01-16
Data Scientist,Tech Company 463,Ha Noi,8-18 millions,"Python, Pandas, Scikit-learn",Fresher,2025-02-14
Mobile Developer,Tech Company 217,Ho Chi Minh,10-20 millions,"Swift, iOS",Fresher,2024-10-19
Tester/QA,Tech Company 297,,26-56 millions,"Manual Testing, SQL",Senior,2024-02-29
DevOps Engineer,Tech Company 81,,25-57 millions,"AWS, Docker, K8s",Senior,2025-06-27
Fullstack Developer,Tech Company 207,Ha Noi,9-19 millions,"React, Node.js, Mongo",Fresher,2024-08-28
Data Scientist,Tech Company 337,Da Nang,7-16 millions,"Python, PyTorch, AWS",Fresher,2025-03-05
AI/ML Engineer,Tech Company 203,Ha Noi,28-56 millions,"Python, TensorFlow, CV",Senior,2024-09-28
Tester/QA,Tech Company 235,Ha Noi,10-21 millions,"Java, Appium",Fresher,2024-01-10
Frontend Developer,Tech Company 478,Ha Noi,27-57 millions,"ReactJS, TypeScript",Senior,2024-05-15
Data Scientist,Tech Company 361,Ho Chi Minh,15-29 millions,"SQL, Tableau, Python",Junior,2025-07-10
Backend Developer,Tech Company 136,Remote,17-26 millions,"Go, Microservices",Junior,2024-05-17
Fullstack Developer,Tech Company 105,Ho Chi Minh,7-17 millions,"Java, Angular, SQL",Fresher,2024-12-17
Tester/QA,Tech Company 325,Da Nang,24-49 millions,"Java, Appium",Senior,2024-04-04
Backend Developer,Tech Company 83,Ho Chi Minh,17-30 millions,"Go, Microservices",Junior,2024-09-25
Mobile Developer,Tech Company 463,Ha Noi,25-59 millions,"Flutter, Dart",Senior,2025-12-08
DevOps Engineer,Tech Company 158,Ho Chi Minh,9-18 millions,"Linux, Jenkins, Ansible",Fresher,2024-02-12
Backend Developer,Tech Company 182,Da Nang,12-23 millions,"Go, Microservices",Junior,2024-04-15
Mobile Developer,Tech Company 500,Da Nang,24-46 millions,React Native,Senior,2024-06-15
Mobile Developer,Tech Company 411,Ho Chi Minh,26-59 millions,"Flutter, Dart",Senior,2025-02-25
Data Scientist,Tech Company 447,Ha Noi,26-58 millions,"SQL, Tableau, Python",Senior,2025-01-26
Data Scientist,Tech Company 115,Ha Noi,8-20 millions,"SQL, Tableau, Python",Fresher,2024-08-21
DevOps Engineer,Tech Company 180,Ho Chi Minh,10-21 millions,"Azure, CI/CD, Terraform",Fresher,2024-10-12
DevOps Engineer,Tech Company 298,Ho Chi Minh,25-59 millions,"AWS, Docker, K8s",Senior,2024-07-01
Frontend Developer,Tech Company 311,Ho Chi Minh,65-113 millions,"HTML, CSS, JS",Manager,2025-03-22
Data Scientist,Tech Company 474,Ho Chi Minh,64-112 millions,"SQL, Tableau, Python",Manager,2025-06-16
Data Scientist,Tech Company 320,Ha Noi,27-59 millions,"SQL, Tableau, Python",Senior,2024-12-04
AI/ML Engineer,Tech Company 357,Ha Noi,,"C++, CUDA, Computer Vision",Junior,2025-02-16
Mobile Developer,Tech Company 292,Ho Chi Minh,17-32 millions,"Kotlin, Android",Junior,2025-09-22
Backend Developer,Tech Company 311,Ha Noi,15-29 millions,"Go, Microservices",Junior,2025-08-16
Tester/QA,Tech Company 338,Ha Noi,27-58 millions,"Manual Testing, SQL",Senior,2024-06-22
DevOps Engineer,Tech Company 159,Ha Noi,10-20 millions,"AWS, Docker, K8s",Fresher,2025-11-19
Backend Developer,Tech Company 234,Ho Chi Minh,15-29 millions,"Python, Django",Junior,2024-03-15
Data Scientist,Tech Company 76,Ha Noi,17-29 millions,"Python, PyTorch, AWS",Junior,2024-09-06
Frontend Developer,Tech Company 266,Ho Chi Minh,26-59 millions,"HTML, CSS, JS",Senior,2025-12-13
Frontend Developer,Tech Company 287,Ha Noi,15-29 millions,"HTML, CSS, JS",Junior,2025-06-27
Tester/QA,Tech Company 381,Remote,,"Automation, Cypress",Senior,2024-06-11
Data Scientist,Tech Company 321,Ha Noi,43-80 millions,"Python, PyTorch, AWS",Lead,2025-05-11
AI/ML Engineer,Tech Company 42,Ho Chi Minh,15-29 millions,"Python, TensorFlow, CV",Junior,2025-07-07
Fullstack Developer,Tech Company 278,Ho Chi Minh,7-18 millions,"Python, VueJS, Docker",Fresher,2024-12-04
Mobile Developer,Tech Company 11,Ho Chi Minh,,"Kotlin, Android",Junior,2025-12-13
Mobile Developer,Tech Company 437,,,"Kotlin, Android",Lead,2025-02-03
Data Scientist,Tech Company 200,Ha Noi,42-79 millions,"SQL, Tableau, Python",Lead,2024-01-30
Mobile Developer,Tech Company 274,Ha Noi,17-32 millions,React Native,Junior,2025-09-29
Backend Developer,Tech Company 94,Ho Chi Minh,9-17 millions,"Python, Django",Fresher,2025-04-17
Data Scientist,Tech Company 143,Ho Chi Minh,8-20 millions,"SQL, Tableau, Python",Fresher,2025-01-23
AI/ML Engineer,Tech Company 488,Ha Noi,27-58 millions,"Python, TensorFlow, CV",Senior,2024-02-23
Backend Developer,Tech Company 319,Ha Noi,18-28 millions,"Python, Django",Junior,2024-01-21
Frontend Developer,Tech Company 86,Ho Chi Minh,16-28 millions,"VueJS, Nuxt",Junior,2025-01-12
Frontend Developer,Tech Company 476,Remote,28-53 millions,"VueJS, Nuxt",Senior,2024-01-27
Mobile Developer,Tech Company 354,,18-28 millions,"Kotlin, Android",Junior,2025-08-29
AI/ML Engineer,Tech Company 401,Ho Chi Minh,27-55 millions,"C++, CUDA, Computer Vision",Senior,2025-08-02
DevOps Engineer,Tech Company 422,Ha Noi,8-18 millions,"AWS, Docker, K8s",Fresher,2025-03-06
DevOps Engineer,Tech Company 223,Ho Chi Minh,18-29 millions,"Linux, Jenkins, Ansible",Junior,2024-06-05
AI/ML Engineer,Tech Company 239,Ha Noi,17-30 millions,"C++, CUDA, Computer Vision",Junior,2025-05-10
AI/ML Engineer,Tech Company 143,Ha Noi,17-31 millions,"Python, NLP, HuggingFace",Junior,2024-03-29
Tester/QA,Tech Company 94,Ho Chi Minh,43-79 millions,"Automation, Cypress",Lead,2024-11-28
AI/ML Engineer,Tech Company 285,Ho Chi Minh,15-30 millions,"Python, NLP, HuggingFace",Junior,2024-10-09
Frontend Developer,Tech Company 354,Da Nang,8-15 millions,"VueJS, Nuxt",Fresher,2024-09-03
Tester/QA,Tech Company 125,Ha Noi,14-28 millions,"Selenium, Python",Junior,2025-12-09
Tester/QA,Tech Company 181,Ha Noi,16-31 millions,"Java, Appium",Junior,2024-12-04
AI/ML Engineer,Tech Company 381,Ho Chi Minh,25-55 millions,"Python, TensorFlow, CV",Senior,2024-05-02
Fullstack Developer,Tech Company 390,Ha Noi,26-57 millions,"React, Node.js, Mongo",Senior,2025-08-26
Frontend Developer,Tech Company 8,Ho Chi Minh,26-56 millions,"VueJS, Nuxt",Senior,2024-11-05
Backend Developer,Tech Company 327,Ho Chi Minh,27-58 millions,"Python, Django",Senior,2024-05-09
Backend Developer,Tech Company 495,Ha Noi,43-79 millions,"Go, Microservices",Lead,2024-07-07
Tester/QA,Tech Company 296,Da Nang,8-15 millions,"Selenium, Python",Fresher,2024-03-16
Fullstack Developer,Tech Company 61,Ho Chi Minh,29-55 millions,"Python, VueJS, Docker",Senior,2024-09-11
Data Scientist,Tech Company 441,Ho Chi Minh,27-59 millions,"Python, PyTorch, AWS",Senior,2024-10-31
Backend Developer,Tech Company 136,Ho Chi Minh,29-56 millions,"Python, Django",Senior,2024-08-04
Fullstack Developer,Tech Company 353,Ho Chi Minh,,"Python, VueJS, Docker",Senior,2025-04-06
Data Scientist,Tech Company 37,Ho Chi Minh,28-58 millions,"SQL, Tableau, Python",Senior,2025-04-09
Data Scientist,Tech Company 466,Da Nang,20-46 millions,"SQL, Tableau, Python",Senior,2024-06-01
Backend Developer,Tech Company 472,Ho Chi Minh,17-30 millions,"Java, Spring Boot",Junior,2025-08-05
AI/ML Engineer,Tech Company 253,Ho Chi Minh,16-28 millions,"C++, CUDA, Computer Vision",Junior,2025-07-06
Mobile Developer,Tech Company 493,Ha Noi,16-27 millions,"Swift, iOS",Junior,2024-08-22
Backend Developer,Tech Company 241,Da Nang,22-48 millions,"Go, Microservices",Senior,2024-06-28
AI/ML Engineer,Tech Company 497,Ho Chi Minh,29-57 millions,"Python, TensorFlow, CV",Senior,2025-05-18
DevOps Engineer,Tech Company 211,Ho Chi Minh,9-20 millions,"Azure, CI/CD, Terraform",Fresher,2024-12-03
Mobile Developer,Tech Company 60,Ho Chi Minh,27-56 millions,"Flutter, Dart",Senior,2024-11-27
Backend Developer,Tech Company 319,,65-110 millions,"Node.js, Express",Manager,2025-01-05
Backend Developer,Tech Company 225,Ha Noi,26-55 millions,"Java, Spring Boot",Senior,2024-10-21
Backend Developer,Tech Company 283,Ha Noi,,"Java, Spring Boot",Lead,2024-01-15
Frontend Developer,Tech Company 256,Ho Chi Minh,18-30 millions,"HTML, CSS, JS",Junior,2024-06-06
AI/ML Engineer,Tech Company 234,Ho Chi Minh,45-81 millions,"Python, NLP, HuggingFace",Lead,2024-09-06
Fullstack Developer,Tech Company 175,Ho Chi Minh,26-58 millions,"React, Node.js, Mongo",Senior,2025-02-28
Backend Developer,Tech Company 338,Ha Noi,44-81 millions,"Go, Microservices",Lead,2025-08-16
Tester/QA,Tech Company 234,Ho Chi Minh,15-31 millions,"Java, Appium",Junior,2025-01-21
Data Scientist,Tech Company 23,Da Nang,35-67 millions,"Python, PyTorch, AWS",Lead,2025-02-24
Mobile Developer,Tech Company 78,Ha Noi,18-31 millions,"Kotlin, Android",Junior,2025-10-29
DevOps Engineer,Tech Company 467,Ho Chi Minh,17-29 millions,"AWS, Docker, K8s",Junior,2025-06-22
Mobile Developer,Tech Company 174,Ha Noi,14-31 millions,React Native,Junior,2024-09-28
Frontend Developer,Tech Company 489,Ho Chi Minh,28-59 millions,"Angular, RxJS",Senior,2025-01-24
Tester/QA,Tech Company 472,Ha Noi,16-28 millions,"Selenium, Python",Junior,2025-12-01
Frontend Developer,Tech Company 447,Ho Chi Minh,18-31 millions,"HTML, CSS, JS",Junior,2025-12-21
AI/ML Engineer,Tech Company 184,Ho Chi Minh,,"Python, TensorFlow, CV",Fresher,2024-10-27
Mobile Developer,Tech Company 318,Ho Chi Minh,15-27 millions,React Native,Junior,2025-01-26
Fullstack Developer,Tech Company 342,Ha Noi,27-56 millions,"React, Node.js, Mongo",Senior,2024-09-18
AI/ML Engineer,Tech Company 301,Ha Noi,8-16 millions,"C++, CUDA, Computer Vision",Fresher,2024-12-19
AI/ML Engineer,Tech Company 437,Remote,,"Python, NLP, HuggingFace",Junior,2025-01-28
DevOps Engineer,Tech Company 425,Ho Chi Minh,15-30 millions,"Linux, Jenkins, Ansible",Junior,2024-01-23
Backend Developer,Tech Company 311,Ho Chi Minh,28-59 millions,"Node.js, Express",Senior,2024-08-23
Data Scientist,Tech Company 349,Ho Chi Minh,26-58 millions,"Python, PyTorch, AWS",Senior,2025-11-06
Backend Developer,Tech Company 375,Ha Noi,28-55 millions,"Go, Microservices",Senior,2025-01-08
DevOps Engineer,Tech Company 449,Da Nang,6-14 millions,"Linux, Jenkins, Ansible",Fresher,2025-07-06
AI/ML Engineer,Tech Company 496,Ha Noi,65-114 millions,"Python, TensorFlow, CV",Manager,2025-05-08
DevOps Engineer,Tech Company 441,Ha Noi,27-55 millions,"AWS, Docker, K8s",Senior,2024-08-19
Mobile Developer,Tech Company 275,Ha Noi,25-56 millions,"Swift, iOS",Senior,2024-09-27
AI/ML Engineer,Tech Company 56,Ho Chi Minh,8-19 millions,"C++, CUDA, Computer Vision",Fresher,2025-01-15
DevOps Engineer,Tech Company 466,Ha Noi,26-55 millions,"Linux, Jenkins, Ansible",Senior,2025-04-20
Frontend Developer,Tech Company 60,Ha Noi,25-55 millions,"VueJS, Nuxt",Senior,2025-05-19
Fullstack Developer,Tech Company 485,Da Nang,7-16 millions,"Java, Angular, SQL",Fresher,2025-12-14
Fullstack Developer,Tech Company 209,Ha Noi,28-59 millions,"Java, Angular, SQL",Senior,2025-09-22
DevOps Engineer,Tech Company 51,Ho Chi Minh,43-81 millions,"AWS, Docker, K8s",Lead,2025-01-06
DevOps Engineer,Tech Company 486,Ho Chi Minh,65-110 millions,"AWS, Docker, K8s",Manager,2024-05-05
Data Scientist,Tech Company 403,Ha Noi,28-59 millions,"Python, PyTorch, AWS",Senior,2024-02-21
Data Scientist,Tech Company 111,Remote,17-29 millions,"Python, Pandas, Scikit-learn",Junior,2025-08-23
Fullstack Developer,Tech Company 67,Ho Chi Minh,25-59 millions,"Python, VueJS, Docker",Senior,2024-05-28
Frontend Developer,Tech Company 302,Ha Noi,26-56 millions,"ReactJS, TypeScript",Senior,2024-08-31
Backend Developer,Tech Company 244,Ho Chi Minh,17-30 millions,"Java, Spring Boot",Junior,2024-03-06
Frontend Developer,Tech Company 373,,16-32 millions,"HTML, CSS, JS",Junior,2024-02-14
AI/ML Engineer,Tech Company 434,Da Nang,23-45 millions,"Python, NLP, HuggingFace",Senior,2025-05-05
Tester/QA,Tech Company 76,Ha Noi,14-27 millions,"Automation, Cypress",Junior,2025-09-14
DevOps Engineer,Tech Company 259,Ho Chi Minh,10-19 millions,"Azure, CI/CD, Terraform",Fresher,2025-04-09
Frontend Developer,Tech Company 174,Ho Chi Minh,27-59 millions,"VueJS, Nuxt",Senior,2025-02-27
Frontend Developer,Tech Company 489,Ho Chi Minh,27-58 millions,"Angular, RxJS",Senior,2025-01-18
Frontend Developer,Tech Company 382,Da Nang,14-22 millions,"ReactJS, TypeScript",Junior,2024-04-08
Backend Developer,Tech Company 482,Ha Noi,28-57 millions,"Go, Microservices",Senior,2025-11-12
Backend Developer,Tech Company 260,Da Nang,22-46 millions,"Go, Microservices",Senior,2025-08-14
Data Scientist,Tech Company 391,Ha Noi,15-30 millions,"Python, Pandas, Scikit-learn",Junior,2024-04-27
Mobile Developer,Tech Company 137,Ho Chi Minh,16-30 millions,"Flutter, Dart",Junior,2025-12-11
AI/ML Engineer,Tech Company 290,Ho Chi Minh,8-17 millions,"Python, NLP, HuggingFace",Fresher,2024-05-26
Backend Developer,Tech Company 233,Ho Chi Minh,28-56 millions,"Python, Django",Senior,2025-03-05
DevOps Engineer,Tech Company 81,Ho Chi Minh,16-31 millions,"Linux, Jenkins, Ansible",Junior,2024-06-08
Frontend Developer,Tech Company 227,Ho Chi Minh,27-57 millions,"Angular, RxJS",Senior,2025-09-13
Frontend Developer,Tech Company 304,Ho Chi Minh,16-28 millions,"Angular, RxJS",Junior,2025-11-25
Backend Developer,Tech Company 105,,16-30 millions,"Java, Spring Boot",Junior,2024-01-08
Fullstack Developer,Tech Company 383,Ho Chi Minh,15-28 millions,"Java, Angular, SQL",Junior,2025-05-24
Data Scientist,Tech Company 37,Ho Chi Minh,16-30 millions,"Python, PyTorch, AWS",Junior,2024-12-28
Mobile Developer,Tech Company 295,Ha Noi,16-27 millions,"Flutter, Dart",Junior,2024-11-16
Mobile Developer,Tech Company 88,Ho Chi Minh,14-27 millions,"Swift, iOS",Junior,2024-11-28
DevOps Engineer,Tech Company 302,Ha Noi,27-55 millions,"AWS, Docker, K8s",Senior,2025-03-22
AI/ML Engineer,Tech Company 40,Ho Chi Minh,15-29 millions,"C++, CUDA, Computer Vision",Junior,2024-06-21
Data Scientist,Tech Company 418,Ho Chi Minh,26-59 millions,"SQL, Tableau, Python",Senior,2025-10-22
AI/ML Engineer,Tech Company 39,Ho Chi Minh,7-17 millions,"Python, TensorFlow, CV",Fresher,2025-11-02
Tester/QA,Tech Company 349,Ha Noi,17-31 millions,"Automation, Cypress",Junior,2025-04-04
DevOps Engineer,Tech Company 227,Ha Noi,43-79 millions,"Linux, Jenkins, Ansible",Lead,2025-04-25
Backend Developer,Tech Company 20,Ha Noi,27-56 millions,"Go, Microservices",Senior,2025-04-07
Frontend Developer,Tech Company 298,Ha Noi,9-19 millions,"ReactJS, TypeScript",Fresher,2025-04-18
Backend Developer,Tech Company 165,Ha Noi,29-57 millions,"Node.js, Express",Senior,2024-07-11
Backend Developer,Tech Company 366,Ha Noi,25-59 millions,"Node.js, Express",Senior,2024-12-17
Backend Developer,Tech Company 268,,9-21 millions,"Java, Spring Boot",Fresher,2025-06-20
AI/ML Engineer,Tech Company 27,,27-56 millions,"Python, NLP, HuggingFace",Senior,2025-09-04
Frontend Developer,Tech Company 130,Ha Noi,25-58 millions,"Angular, RxJS",Senior,2024-10-17
Fullstack Developer,Tech Company 159,Ha Noi,25-58 millions,"Java, Angular, SQL",Senior,2024-12-24
Mobile Developer,Tech Company 287,Ha Noi,66-114 millions,React Native,Manager,2024-11-13
Fullstack Developer,Tech Company 468,Ha Noi,17-32 millions,"Python, VueJS, Docker",Junior,2025-12-02
Mobile Developer,Tech Company 175,Ha Noi,25-56 millions,"Swift, iOS",Senior,2024-08-07
Data Scientist,Tech Company 260,Ha Noi,42-78 millions,"Python, Pandas, Scikit-learn",Lead,2024-04-13
Backend Developer,Tech Company 193,Ha Noi,29-58 millions,"Go, Microservices",Senior,2025-09-03
Fullstack Developer,Tech Company 369,Ho Chi Minh,16-29 millions,"Python, VueJS, Docker",Junior,2025-11-23
AI/ML Engineer,Tech Company 159,Ho Chi Minh,17-28 millions,"C++, CUDA, Computer Vision",Junior,2024-09-01
Data Scientist,Tech Company 237,Ha Noi,66-112 millions,"SQL, Tableau, Python",Manager,2025-03-27
Mobile Developer,Tech Company 447,Ha Noi,28-59 millions,React Native,Senior,2024-05-21
DevOps Engineer,Tech Company 436,Ha Noi,18-31 millions,"Linux, Jenkins, Ansible",Junior,2025-06-12
Fullstack Developer,Tech Company 47,Ho Chi Minh,8-19 millions,"Java, Angular, SQL",Fresher,2025-03-23
Tester/QA,Tech Company 258,Ho Chi Minh,45-79 millions,"Java, Appium",Lead,2025-02-09
Frontend Developer,Tech Company 430,,15-29 millions,"Angular, RxJS",Junior,2024-04-11
Fullstack Developer,Tech Company 357,Ho Chi Minh,25-59 millions,"React, Node.js, Mongo",Senior,2025-04-28
Tester/QA,Tech Company 132,Ha Noi,27-59 millions,"Automation, Cypress",Senior,2024-01-20
Mobile Developer,Tech Company 25,Ho Chi Minh,17-28 millions,"Flutter, Dart",Junior,2024-05-04
Tester/QA,Tech Company 275,Ha Noi,14-32 millions,"Selenium, Python",Junior,2025-09-03
Data Scientist,Tech Company 181,Ha Noi,7-18 millions,"Python, PyTorch, AWS",Fresher,2025-09-21
Frontend Developer,Tech Company 403,Ho Chi Minh,14-30 millions,"Angular, RxJS",Junior,2025-06-03
Mobile Developer,Tech Company 130,Ha Noi,64-111 millions,"Kotlin, Android",Manager,2025-01-17
Frontend Developer,Tech Company 396,Ho Chi Minh,26-58 millions,"Angular, RxJS",Senior,2024-04-16
Fullstack Developer,Tech Company 90,Ha Noi,26-56 millions,"React, Node.js, Mongo",Senior,2025-10-20
Tester/QA,Tech Company 19,Ha Noi,28-55 millions,"Manual Testing, SQL",Senior,2025-04-13
Data Scientist,Tech Company 418,Ho Chi Minh,15-29 millions,"Python, Pandas, Scikit-learn",Junior,2025-02-11
Data Scientist,Tech Company 170,Ho Chi Minh,26-58 millions,"SQL, Tableau, Python",Senior,2025-11-02
Mobile Developer,Tech Company 174,Ha Noi,17-31 millions,"Kotlin, Android",Junior,2025-01-30
Tester/QA,Tech Company 373,Ha Noi,,"Java, Appium",Manager,2024-03-25
Fullstack Developer,Tech Company 339,Ho Chi Minh,15-28 millions,"Python, VueJS, Docker",Junior,2024-12-01
Mobile Developer,Tech Company 373,Ho Chi Minh,,React Native,Junior,2024-02-13
Mobile Developer,Tech Company 39,Ho Chi Minh,44-80 millions,"Swift, iOS",Lead,2024-02-28
Fullstack Developer,Tech Company 18,Ho Chi Minh,26-58 millions,"React, Node.js, Mongo",Senior,2025-03-24
DevOps Engineer,Tech Company 79,Ho Chi Minh,8-19 millions,"Azure, CI/CD, Terraform",Fresher,2025-09-11
DevOps Engineer,Tech Company 188,Da Nang,23-47 millions,"Azure, CI/CD, Terraform",Senior,2025-06-26
Data Scientist,Tech Company 199,Ha Noi,14-28 millions,"Python, Pandas, Scikit-learn",Junior,2025-06-14
AI/ML Engineer,Tech Company 356,Ho Chi Minh,43-81 millions,"C++, CUDA, Computer Vision",Lead,2024-10-19
Frontend Developer,Tech Company 228,Ha Noi,45-79 millions,"VueJS, Nuxt",Lead,2025-12-31
DevOps Engineer,Tech Company 149,Ha Noi,65-110 millions,"Linux, Jenkins, Ansible",Manager,2025-07-09
Fullstack Developer,Tech Company 406,Da Nang,36-63 millions,"Java, Angular, SQL",Lead,2024-07-24
Backend Developer,Tech Company 67,Ha Noi,9-18 millions,"Go, Microservices",Fresher,2025-07-18
AI/ML Engineer,Tech Company 211,Ho Chi Minh,29-58 millions,"Python, NLP, HuggingFace",Senior,2025-06-22
Frontend Developer,Tech Company 239,Ha Noi,29-58 millions,"VueJS, Nuxt",Senior,2025-04-05
Fullstack Developer,Tech Company 426,Ho Chi Minh,27-59 millions,"React, Node.js, Mongo",Senior,2024-02-26
Fullstack Developer,Tech Company 486,Ho Chi Minh,8-20 millions,"React, Node.js, Mongo",Fresher,2024-12-20
Frontend Developer,Tech Company 65,Da Nang,34-67 millions,"Angular, RxJS",Lead,2024-10-08
Frontend Developer,Tech Company 338,Ha Noi,27-57 millions,"VueJS, Nuxt",Senior,2024-06-24
DevOps Engineer,Tech Company 24,,20-49 millions,"Linux, Jenkins, Ansible",Senior,2024-03-24
AI/ML Engineer,Tech Company 328,Ha Noi,42-79 millions,"C++, CUDA, Computer Vision",Lead,2025-09-24
AI/ML Engineer,Tech Company 208,Da Nang,9-15 millions,"C++, CUDA, Computer Vision",Fresher,2025-12-02
Backend Developer,Tech Company 175,Ho Chi Minh,16-29 millions,"Java, Spring Boot",Junior,2024-07-27
DevOps Engineer,Tech Company 67,Ho Chi Minh,29-56 millions,"Linux, Jenkins, Ansible",Senior,2025-02-12
Frontend Developer,Tech Company 127,Ha Noi,26-55 millions,"Angular, RxJS",Senior,2025-04-05
Mobile Developer,Tech Company 417,Ho Chi Minh,7-20 millions,"Kotlin, Android",Fresher,2024-06-12
DevOps Engineer,Tech Company 240,Ha Noi,17-29 millions,"AWS, Docker, K8s",Junior,2025-06-11
Backend Developer,Tech Company 111,Ho Chi Minh,18-30 millions,"Python, Django",Junior,2024-09-03
AI/ML Engineer,Tech Company 241,Ho Chi Minh,27-59 millions,"Python, NLP, HuggingFace",Senior,2025-11-19
Frontend Developer,Tech Company 392,Ho Chi Minh,15-28 millions,"HTML, CSS, JS",Junior,2025-01-09
Backend Developer,Tech Company 259,Ho Chi Minh,15-28 millions,"Java, Spring Boot",Junior,2025-01-30
Frontend Developer,Tech Company 286,Ha Noi,18-29 millions,"VueJS, Nuxt",Junior,2024-12-13
Data Scientist,Tech Company 20,Ha Noi,44-79 millions,"Python, PyTorch, AWS",Lead,2024-02-16
Tester/QA,Tech Company 168,Ho Chi Minh,7-20 millions,"Automation, Cypress",Fresher,2024-05-23
Mobile Developer,Tech Company 273,Ho Chi Minh,44-79 millions,"Swift, iOS",Lead,2025-06-05
Tester/QA,Tech Company 299,Ha Noi,15-30 millions,"Selenium, Python",Junior,2025-03-02
Backend Developer,Tech Company 296,Da Nang,12-25 millions,"Node.js, Express",Junior,2025-08-15
Tester/QA,Tech Company 76,Ho Chi Minh,,"Manual Testing, SQL",Junior,2025-01-24
Frontend Developer,Tech Company 212,Ho Chi Minh,25-56 millions,"VueJS, Nuxt",Senior,2024-06-04
Tester/QA,Tech Company 167,Ho Chi Minh,28-57 millions,"Selenium, Python",Senior,2025-07-28
Mobile Developer,Tech Company 176,Ha Noi,67-112 millions,"Swift, iOS",Manager,2025-06-29
AI/ML Engineer,Tech Company 286,Ha Noi,,"C++, CUDA, Computer Vision",Senior,2024-10-12
AI/ML Engineer,Tech Company 163,Da Nang,14-25 millions,"Python, NLP, HuggingFace",Junior,2025-05-15
AI/ML Engineer,Tech Company 459,Ha Noi,14-30 millions,"Python, NLP, HuggingFace",Junior,2025-01-23
Fullstack Developer,Tech Company 178,Ha Noi,,"Java, Angular, SQL",Manager,2024-03-21
Tester/QA,Tech Company 357,Ha Noi,42-79 millions,"Manual Testing, SQL",Lead,2025-07-29
Data Scientist,Tech Company 327,Ho Chi Minh,14-32 millions,"Python, Pandas, Scikit-learn",Junior,2024-08-19
DevOps Engineer,Tech Company 3,Ho Chi Minh,16-30 millions,"Linux, Jenkins, Ansible",Junior,2024-05-20
Fullstack Developer,Tech Company 245,Remote,63-109 millions,"Java, Angular, SQL",Manager,2025-05-02
