Job Title,Company,Location,Salary,Skills,Experience,Posted Date,Avg_Salary_Million,Exp_Level
Fullstack Developer,Tech Company 18,Ho Chi Minh,26-58 millions,"react, node.js, mongo",Senior,2025-03-24,42.0,3
DevOps Engineer,Tech Company 79,Ho Chi Minh,8-19 millions,"azure, ci/cd, terraform",Fresher,2025-09-11,13.5,1
DevOps Engineer,Tech Company 188,Da Nang,23-47 millions,"azure, ci/cd, terraform",Senior,2025-06-26,35.0,3
Data Scientist,Tech Company 199,Ha Noi,14-28 millions,"python, pandas, scikit-learn",Junior,2025-06-14,21.0,2
AI/ML Engineer,Tech Company 356,Ho Chi Minh,43-81 millions,"c++, cuda, computer vision",Lead,2024-10-19,62.0,4
Frontend Developer,Tech Company 228,Ha Noi,45-79 millions,"vuejs, nuxt",Lead,2025-12-31,62.0,4
DevOps Engineer,Tech Company 149,Ha Noi,65-110 millions,"linux, jenkins, ansible",Manager,2025-07-09,87.5,5
Fullstack Developer,Tech Company 406,Da Nang,36-63 millions,"java, angular, sql",Lead,2024-07-24,49.5,4
Backend Developer,Tech Company 67,Ha Noi,9-18 millions,"go, microservices",Fresher,2025-07-18,13.5,1
AI/ML Engineer,Tech Company 211,Ho Chi Minh,29-58 millions,"python, nlp, huggingface",Senior,2025-06-22,43.5,3
Frontend Developer,Tech Company 239,Ha Noi,29-58 millions,"vuejs, nuxt",Senior,2025-04-05,43.5,3
Fullstack Developer,Tech Company 426,Ho Chi Minh,27-59 millions,"react, node.js, mongo",Senior,2024-02-26,43.0,3
Fullstack Developer,Tech Company 486,Ho Chi Minh,8-20 millions,"react, node.js, mongo",Fresher,2024-12-20,14.0,1
Frontend Developer,Tech Company 65,Da Nang,34-67 millions,"angular, rxjs",Lead,2024-10-08,50.5,4
Frontend Developer,Tech Company 338,Ha Noi,27-57 millions,"vuejs, nuxt",Senior,2024-06-24,42.0,3
AI/ML Engineer,Tech Company 328,Ha Noi,42-79 millions,"c++, cuda, computer vision",Lead,2025-09-24,60.5,4
AI/ML Engineer,Tech Company 208,Da Nang,9-15 millions,"c++, cuda, computer vision",Fresher,2025-12-02,12.0,1
Backend Developer,Tech Company 175,Ho Chi Minh,16-29 millions,"java, spring boot",Junior,2024-07-27,22.5,2
DevOps Engineer,Tech Company 67,Ho Chi Minh,29-56 millions,"linux, jenkins, ansible",Senior,2025-02-12,42.5,3
Frontend Developer,Tech Company 127,Ha Noi,26-55 millions,"angular, rxjs",Senior,2025-04-05,40.5,3
Mobile Developer,Tech Company 417,Ho Chi Minh,7-20 millions,"kotlin, android",Fresher,2024-06-12,13.5,1
DevOps Engineer,Tech Company 240,Ha Noi,17-29 millions,"aws, docker, k8s",Junior,2025-06-11,23.0,2
Backend Developer,Tech Company 111,Ho Chi Minh,18-30 millions,"python, django",Junior,2024-09-03,24.0,2
AI/ML Engineer,Tech Company 241,Ho Chi Minh,27-59 millions,"python, nlp, huggingface",Senior,2025-11-19,43.0,3
Frontend Developer,Tech Company 392,Ho Chi Minh,15-28 millions,"html, css, js",Junior,2025-01-09,21.5,2
Backend Developer,Tech Company 259,Ho Chi Minh,15-28 millions,"java, spring boot",Junior,2025-01-30,21.5,2
Frontend Developer,Tech Company 286,Ha Noi,18-29 millions,"vuejs, nuxt",Junior,2024-12-13,23.5,2
Data Scientist,Tech Company 20,Ha Noi,44-79 millions,"python, pytorch, aws",Lead,2024-02-16,61.5,4
Tester/QA,Tech Company 168,Ho Chi Minh,7-20 millions,"automation, cypress",Fresher,2024-05-23,13.5,1
Mobile Developer,Tech Company 273,Ho Chi Minh,44-79 millions,"swift, ios",Lead,2025-06-05,61.5,4
Tester/QA,Tech Company 299,Ha Noi,15-30 millions,"selenium, python",Junior,2025-03-02,22.5,2
Backend Developer,Tech Company 296,Da Nang,12-25 millions,"node.js, express",Junior,2025-08-15,18.5,2
Frontend Developer,Tech Company 212,Ho Chi Minh,25-56 millions,"vuejs, nuxt",Senior,2024-06-04,40.5,3
Tester/QA,Tech Company 167,Ho Chi Minh,28-57 millions,"selenium, python",Senior,2025-07-28,42.5,3
Mobile Developer,Tech Company 176,Ha Noi,67-112 millions,"swift, ios",Manager,2025-06-29,89.5,5
AI/ML Engineer,Tech Company 163,Da Nang,14-25 millions,"python, nlp, huggingface",Junior,2025-05-15,19.5,2
AI/ML Engineer,Tech Company 459,Ha Noi,14-30 millions,"python, nlp, huggingface",Junior,2025-01-23,22.0,2
Tester/QA,Tech Company 357,Ha Noi,42-79 millions,"manual testing, sql",Lead,2025-07-29,60.5,4
Data Scientist,Tech Company 327,Ho Chi Minh,14-32 millions,"python, pandas, scikit-learn",Junior,2024-08-19,23.0,2
DevOps Engineer,Tech Company 3,Ho Chi Minh,16-30 millions,"linux, jenkins, ansible",Junior,2024-05-20,23.0,2
Fullstack Developer,Tech Company 245,Remote,63-109 millions,"java, angular, sql",Manager,2025-05-02,86.0,5
AI/ML Engineer,Tech Company 334,Ha Noi,26-55 millions,"python, nlp, huggingface",Senior,2024-04-01,40.5,3
Backend Developer,Tech Company 429,Ha Noi,27-59 millions,"java, spring boot",Senior,2024-02-07,43.0,3
AI/ML Engineer,Tech Company 476,Ha Noi,14-30 millions,"python, tensorflow, cv",Junior,2024-04-19,22.0,2
Tester/QA,Tech Company 415,Ho Chi Minh,67-112 millions,"manual testing, sql",Manager,2024-07-16,89.5,5
Tester/QA,Tech Company 405,Ho Chi Minh,9-16 millions,"java, appium",Fresher,2024-12-11,12.5,1
Data Scientist,Tech Company 424,Ha Noi,16-30 millions,"python, pandas, scikit-learn",Junior,2025-02-19,23.0,2
Mobile Developer,Tech Company 480,Ho Chi Minh,15-28 millions,"flutter, dart",Junior,2024-11-27,21.5,2
Data Scientist,Tech Company 299,Ho Chi Minh,17-32 millions,"sql, tableau, python",Junior,2024-11-05,24.5,2
